ip,port,is_new,packet_cnt,total_bytes,syn_cnt,fin_cnt,rst_cnt,start_time,duration
154.64.245.126,45437,yes,1,0,1,0,0,2024-06-22 17:44:59.724296,0:00:00
154.64.245.126,57067,yes,1,0,1,0,0,2024-06-22 17:44:59.729739,0:00:00
154.64.245.126,46531,yes,1,0,1,0,0,2024-06-22 17:44:59.732103,0:00:00
154.64.245.126,30435,yes,1,0,1,0,0,2024-06-22 17:44:59.734617,0:00:00
154.64.245.126,32236,yes,1,0,1,0,0,2024-06-22 17:44:59.737158,0:00:00
154.64.245.126,40216,yes,2,0,2,0,0,2024-06-22 17:44:59.739524,0:00:23.073288
154.64.245.126,27923,yes,1,0,1,0,0,2024-06-22 17:44:59.742249,0:00:00
154.64.245.126,3417,yes,1,0,1,0,0,2024-06-22 17:44:59.744371,0:00:00
154.64.245.126,59739,yes,1,0,1,0,0,2024-06-22 17:44:59.747075,0:00:00
154.64.245.126,58735,yes,1,0,1,0,0,2024-06-22 17:44:59.749969,0:00:00
154.64.245.126,44790,yes,1,0,1,0,0,2024-06-22 17:44:59.752493,0:00:00
154.64.245.126,59485,yes,1,0,1,0,0,2024-06-22 17:44:59.755179,0:00:00
154.64.245.126,17764,yes,1,0,1,0,0,2024-06-22 17:44:59.757469,0:00:00
154.64.245.126,8401,yes,1,0,1,0,0,2024-06-22 17:44:59.759482,0:00:00
154.64.245.126,8726,yes,1,0,1,0,0,2024-06-22 17:44:59.761892,0:00:00
154.64.245.126,25423,yes,1,0,1,0,0,2024-06-22 17:44:59.763975,0:00:00
154.64.245.126,58689,yes,1,0,1,0,0,2024-06-22 17:44:59.766016,0:00:00
154.64.245.126,9928,yes,1,0,1,0,0,2024-06-22 17:44:59.768186,0:00:00
154.64.245.126,6174,yes,1,0,1,0,0,2024-06-22 17:44:59.770289,0:00:00
154.64.245.126,13178,yes,1,0,1,0,0,2024-06-22 17:44:59.772652,0:00:00
154.64.245.126,39086,yes,1,0,1,0,0,2024-06-22 17:44:59.774733,0:00:00
154.64.245.126,64930,yes,1,0,1,0,0,2024-06-22 17:44:59.777191,0:00:00
154.64.245.126,61554,yes,1,0,1,0,0,2024-06-22 17:44:59.779176,0:00:00
154.64.245.126,6872,yes,1,0,1,0,0,2024-06-22 17:44:59.781146,0:00:00
154.64.245.126,43324,yes,1,0,1,0,0,2024-06-22 17:44:59.783065,0:00:00
154.64.245.126,44741,yes,2,0,2,0,0,2024-06-22 17:44:59.784877,0:00:51.918219
154.64.245.126,60723,yes,1,0,1,0,0,2024-06-22 17:44:59.786703,0:00:00
154.64.245.126,23521,yes,1,0,1,0,0,2024-06-22 17:44:59.789090,0:00:00
154.64.245.126,46372,yes,1,0,1,0,0,2024-06-22 17:44:59.791176,0:00:00
154.64.245.126,46103,yes,1,0,1,0,0,2024-06-22 17:44:59.793117,0:00:00
154.64.245.126,53380,yes,1,0,1,0,0,2024-06-22 17:44:59.794952,0:00:00
154.64.245.126,54817,yes,1,0,1,0,0,2024-06-22 17:44:59.796446,0:00:00
154.64.245.126,11887,yes,1,0,1,0,0,2024-06-22 17:44:59.798441,0:00:00
154.64.245.126,49288,yes,2,0,2,0,0,2024-06-22 17:44:59.800168,0:00:35.889372
154.64.245.126,28225,yes,1,0,1,0,0,2024-06-22 17:44:59.802455,0:00:00
154.64.245.126,38159,yes,1,0,1,0,0,2024-06-22 17:44:59.804836,0:00:00
154.64.245.126,15795,yes,1,0,1,0,0,2024-06-22 17:44:59.807534,0:00:00
154.64.245.126,60496,yes,1,0,1,0,0,2024-06-22 17:44:59.810076,0:00:00
154.64.245.126,4774,yes,1,0,1,0,0,2024-06-22 17:44:59.812361,0:00:00
154.64.245.126,65227,yes,1,0,1,0,0,2024-06-22 17:44:59.814503,0:00:00
154.64.245.126,41059,yes,1,0,1,0,0,2024-06-22 17:44:59.816545,0:00:00
154.64.245.126,51111,yes,1,0,1,0,0,2024-06-22 17:44:59.819707,0:00:00
154.64.245.126,10654,yes,1,0,1,0,0,2024-06-22 17:44:59.823305,0:00:00
154.64.245.126,14189,yes,1,0,1,0,0,2024-06-22 17:44:59.826075,0:00:00
154.64.245.126,23423,yes,1,0,1,0,0,2024-06-22 17:44:59.829371,0:00:00
154.64.245.126,46098,yes,1,0,1,0,0,2024-06-22 17:44:59.832360,0:00:00
154.64.245.126,46820,yes,1,0,1,0,0,2024-06-22 17:44:59.835099,0:00:00
154.64.245.126,52958,yes,1,0,1,0,0,2024-06-22 17:44:59.838554,0:00:00
154.64.245.126,525,yes,1,0,1,0,0,2024-06-22 17:44:59.841216,0:00:00
154.64.245.126,23100,yes,2,0,2,0,0,2024-06-22 17:44:59.843797,0:00:31.952264
154.64.245.126,37144,yes,1,0,1,0,0,2024-06-22 17:44:59.846010,0:00:00
154.64.245.126,60794,yes,1,0,1,0,0,2024-06-22 17:44:59.848958,0:00:00
154.64.245.126,5597,yes,1,0,1,0,0,2024-06-22 17:44:59.851202,0:00:00
154.64.245.126,32660,yes,1,0,1,0,0,2024-06-22 17:44:59.853348,0:00:00
154.64.245.126,43804,yes,1,0,1,0,0,2024-06-22 17:44:59.855541,0:00:00
154.64.245.126,11186,yes,1,0,1,0,0,2024-06-22 17:44:59.858294,0:00:00
154.64.245.126,41809,yes,1,0,1,0,0,2024-06-22 17:44:59.861815,0:00:00
154.64.245.126,12489,yes,1,0,1,0,0,2024-06-22 17:45:00.669483,0:00:00
154.64.245.126,36561,yes,1,0,1,0,0,2024-06-22 17:45:00.673842,0:00:00
154.64.245.126,58209,yes,1,0,1,0,0,2024-06-22 17:45:00.677691,0:00:00
154.64.245.126,9015,yes,1,0,1,0,0,2024-06-22 17:45:00.682114,0:00:00
154.64.245.126,62868,yes,1,0,1,0,0,2024-06-22 17:45:00.685731,0:00:00
154.64.245.126,46974,yes,1,0,1,0,0,2024-06-22 17:45:00.689600,0:00:00
154.64.245.126,11346,yes,1,0,1,0,0,2024-06-22 17:45:00.692963,0:00:00
154.64.245.126,51463,yes,1,0,1,0,0,2024-06-22 17:45:00.695963,0:00:00
154.64.245.126,49732,yes,1,0,1,0,0,2024-06-22 17:45:00.699948,0:00:00
154.64.245.126,12359,yes,1,0,1,0,0,2024-06-22 17:45:00.703513,0:00:00
154.64.245.126,31014,yes,1,0,1,0,0,2024-06-22 17:45:00.708046,0:00:00
154.64.245.126,58870,yes,1,0,1,0,0,2024-06-22 17:45:00.712173,0:00:00
154.64.245.126,1077,yes,1,0,1,0,0,2024-06-22 17:45:00.715930,0:00:00
154.64.245.126,47790,yes,1,0,1,0,0,2024-06-22 17:45:00.719621,0:00:00
154.64.245.126,19010,yes,1,0,1,0,0,2024-06-22 17:45:00.723317,0:00:00
154.64.245.126,30782,yes,1,0,1,0,0,2024-06-22 17:45:00.726975,0:00:00
154.64.245.126,6904,yes,1,0,1,0,0,2024-06-22 17:45:00.730757,0:00:00
